SampleID,Absorbance
TPA_T0_Compost_R1,0.1339
TPA_T0_Compost_R2,0.1537
TPA_T0_Compost_R3,0.1292
TPA_T0_Compost_R4,0.1424
TPA_T0_Sediment1_R1,0.1456
TPA_T0_Sediment1_R2,0.1381
TPA_T0_Sediment1_R3,0.1361
TPA_T0_Sediment1_R4,0.137
TPA_T0_Sediment2_R1,0.1314
TPA_T0_Sediment2_R2,0.1323
TPA_T0_Sediment2_R3,0.1321
TPA_T0_Sediment2_R4,0.1282
TPA_T0_Sediment3_R1,0.1442
TPA_T0_Sediment3_R2,0.1344
TPA_T0_Sediment3_R3,0.1278
TPA_T0_Sediment3_R4,0.1271
TPA_T0_Sediment4_R1,0.1073
TPA_T0_Sediment4_R2,0.1373
TPA_T0_Sediment4_R3,0.114
TPA_T0_Sediment4_R4,0.114
TPA_T0_Sediment5_R1,0.1208
TPA_T0_Sediment5_R2,0.1187
TPA_T0_Sediment5_R3,0.1296
TPA_T0_Sediment5_R4,0.1368
TPA_T0_Sediment6_R1,0.0984
TPA_T0_Sediment6_R2,0.1051
TPA_T0_Sediment6_R3,0.098
TPA_T0_Sediment6_R4,0.2128
TPA_T1_Compost_R1,0.1263
TPA_T1_Compost_R2,0.1202
TPA_T1_Compost_R3,0.1208
TPA_T1_Compost_R4,0.1115
TPA_T1_Sediment1_R1,0.1875
TPA_T1_Sediment1_R2,0.1861
TPA_T1_Sediment1_R3,0.1927
TPA_T1_Sediment1_R4,0.1811
TPA_T1_Sediment2_R1,0.2118
TPA_T1_Sediment2_R2,0.1018
TPA_T1_Sediment2_R3,0.212
TPA_T1_Sediment2_R4,0.2081
TPA_T1_Sediment3_R1,0.2022
TPA_T1_Sediment3_R2,0.1985
TPA_T1_Sediment3_R3,0.2059
TPA_T1_Sediment3_R4,0.1807
TPA_T1_Sediment4_R1,0.164
TPA_T1_Sediment4_R2,0.1727
TPA_T1_Sediment4_R3,0.1801
TPA_T1_Sediment4_R4,0.1481
TPA_T1_Sediment5_R1,0.1635
TPA_T1_Sediment5_R2,0.1727
TPA_T1_Sediment5_R3,0.1734
TPA_T1_Sediment5_R4,0.1712
TPA_T1_Sediment6_R1,0.1067
TPA_T1_Sediment6_R2,0.106
TPA_T1_Sediment6_R3,0.1066
TPA_T1_Sediment6_R4,0.1023
TPA_T2_Compost_R1,0.1143
TPA_T2_Compost_R2,0.116
TPA_T2_Compost_R3,0.12
TPA_T2_Compost_R4,0.1213
TPA_T2_Sediment1_R1,0.2477
TPA_T2_Sediment1_R2,0.249
TPA_T2_Sediment1_R3,0.2728
TPA_T2_Sediment1_R4,0.2634
TPA_T2_Sediment2_R1,0.2407
TPA_T2_Sediment2_R2,0.2158
TPA_T2_Sediment2_R3,0.2351
TPA_T2_Sediment2_R4,0.218
TPA_T2_Sediment3_R1,0.2479
TPA_T2_Sediment3_R2,0.2444
TPA_T2_Sediment3_R3,0.2672
TPA_T2_Sediment3_R4,0.2383
TPA_T2_Sediment4_R1,0.1971
TPA_T2_Sediment4_R2,0.2528
TPA_T2_Sediment4_R3,0.2356
TPA_T2_Sediment4_R4,0.2194
TPA_T2_Sediment5_R1,0.2228
TPA_T2_Sediment5_R2,0.2315
TPA_T2_Sediment5_R3,0.2271
TPA_T2_Sediment5_R4,0.2183
TPA_T2_Sediment6_R1,0.1079
TPA_T2_Sediment6_R2,0.1076
TPA_T2_Sediment6_R3,0.1122
TPA_T2_Sediment6_R4,0.1185
TPA_T3_Compost_R1,0.1201
TPA_T3_Compost_R2,0.1276
TPA_T3_Compost_R3,0.1225
TPA_T3_Compost_R4,0.1196
TPA_T3_Sediment1_R1,0.2773
TPA_T3_Sediment1_R2,0.2837
TPA_T3_Sediment1_R3,0.298
TPA_T3_Sediment1_R4,0.2992
TPA_T3_Sediment2_R1,0.2482
TPA_T3_Sediment2_R2,0.2675
TPA_T3_Sediment2_R3,1.1301
TPA_T3_Sediment2_R4,1.4668
TPA_T3_Sediment3_R1,0.2811
TPA_T3_Sediment3_R2,0.2644
TPA_T3_Sediment3_R3,0.3206
TPA_T3_Sediment3_R4,0.3595
TPA_T3_Sediment4_R1,0.2598
TPA_T3_Sediment4_R2,0.2917
TPA_T3_Sediment4_R3,0.9949
TPA_T3_Sediment4_R4,0.2889
TPA_T3_Sediment5_R1,0.2682
TPA_T3_Sediment5_R2,0.2363
TPA_T3_Sediment5_R3,0.4876
TPA_T3_Sediment5_R4,0.4399
TPA_T3_Sediment6_R1,0.2118
TPA_T3_Sediment6_R2,0.2162
TPA_T3_Sediment6_R3,1.05
TPA_T3_Sediment6_R4,0.2272
TPA_T4_Compost_R1,0.1127
TPA_T4_Compost_R2,0.1572
TPA_T4_Compost_R3,0.1565
TPA_T4_Compost_R4,0.1484
TPA_T4_Sediment1_R1,0.2316
TPA_T4_Sediment1_R2,0.2793
TPA_T4_Sediment1_R3,0.2662
TPA_T4_Sediment1_R4,0.2792
TPA_T4_Sediment2_R1,0.2335
TPA_T4_Sediment2_R2,1.372
TPA_T4_Sediment2_R3,0.2473
TPA_T4_Sediment2_R4,0.2369
TPA_T4_Sediment3_R1,0.3197
TPA_T4_Sediment3_R2,0.8783
TPA_T4_Sediment3_R3,0.3461
TPA_T4_Sediment3_R4,0.3605
TPA_T4_Sediment4_R1,0.1046
TPA_T4_Sediment4_R2,0.9829
TPA_T4_Sediment4_R3,0.275
TPA_T4_Sediment4_R4,0.2428
TPA_T4_Sediment5_R1,0.2978
TPA_T4_Sediment5_R2,0.2311
TPA_T4_Sediment5_R3,0.2382
TPA_T4_Sediment5_R4,0.491
TPA_T4_Sediment6_R1,0.2684
TPA_T4_Sediment6_R2,0.2755
TPA_T4_Sediment6_R3,0.2625
TPA_T4_Sediment6_R4,0.256
TA_T0_Compost_R1,0.1179
TA_T0_Compost_R2,0.1226
TA_T0_Compost_R3,0.1227
TA_T0_Compost_R4,0.1231
TA_T0_Sediment1_R1,0.1134
